Sadness,Anxiety,Anger,Disgust,Trust,Surprise,Joy
猫,減った,物,無し,強い,活躍,行き
癌,準備,理不尽な,無視,彼女,無し,行く
目,災害,相手,犯人,後,特に,行った
知人,無事に,税金,犯罪,後輩,生,行って
祖母,状態,立った,理由,得,発表,見
祖父,状況,管理,甲斐,心,発見,見つけた
自殺,現在,統計,男,必要,白血病,見て
花,環境,総理,男性,思い,知った,観
落ちた,生活,聞か,発言,思った,知って,観た
落ちて,異動,職員,社員,思わ,知ら,計画
落とした,病,腹,糞,恋人,知り合い,試合
落として,病気,自分,続ける,悩み,社,買い
葬式,症,自動車,義母,意見,突然,買い物
被害,症状,自転車,考え,感じ,結婚,買う
親,痛い,虐待,聞いた,感じた,花子,赤ちゃん
親戚,確認,行動,職場,感じて,芸能,趣味
詐欺,社会,行為,自分勝手な,成功,薬,週
認知,税,被害,自宅,手伝って,行ったら,遊び
負けた,精神,裏切ら,自己,担当,見つかった,遊ぶ
財布,終了,裏切り,自身,持って,覚えて,遊んだ
買う,経済,見る,臭,携帯,解散,遊んで
買った,結果,覚え,臭い,教えて,詐欺,運動
買って,給料,覚えた,若い,方,試合,過ごした
購入,続いて,覚える,薬物,旦那,誕生日,過ごす
足,続け,言い,行動,早く,赤ちゃん,酒
身内,続けて,言う,見た,昔,走って,野球
転勤,老後,言って,見つけた,時代,起きた,釣り
辞めた,考えた,言わ,言った,普段,転勤,面白い
退職,考える,言動,詐欺,来て,辞めた,音楽
途中,肩,詐欺,話して,業務,連続,食べ
進んで,良く,誘拐,誘拐,業者,逮捕,食べた
長年,診断,説明,責任,様,選手,食べる
降って,試験,誰,買う,治療,量,食事
障害,調子,質問,近く,理解,金額,飲み
離婚,貯金,足,近所,甲斐,雪,飲む
雨,身体,車,道,病院,額,館
頃,転職,込ま,違反,相談,香港,馬
食べ,通勤,込み,遭遇,看護,馬券,
飼い,進んで,込んで,部屋,確認,驚いた,
飼い犬,金,返事,隣,社長,驚き,
飼って,金銭,迷惑,隣人,私,驚く,
駅,鍵,通り,電車,精神,高,
,障害,通勤,音,約束,高い,
,風邪,運転,顔,絆,高校,
,高い,違う,風呂,結局,,
,高齢,部下,食べて,考えて,,
,,野党,駅,聞いて,,
,,際,騒いで,育児,,
,,電話,高い,良い,,
,,非常に,髪,良かった,,
,,韓国,,荷物,,
,,順番,,親友,,
,,頭,,親身に,,
,,顧客,,解決,,
,,駅,,言った,,
,,駐車,,言葉,,
,,騒音,,評価,,
,,騙さ,,話,,
,,高い,,話し,,
,,,,話した,,
,,,,説明,,
,,,,警察,,
,,,,貰った,,
,,,,買う,,
,,,,質問,,
,,,,返事,,
,,,,連絡,,
,,,,進んで,,
,,,,間,,
,,,,関係,,
,,,,際,,
,,,,離れて,,
,,,,頑張って,,
,,,,頼り,,
,,,,頼んで,,
,,,,願い,,
